Date,RoomID,Beacon/0/UUID,Beacon/0/major,Beacon/0/minor,Beacon/0/RSSI,Beacon/1/UUID,Beacon/1/major,Beacon/1/minor,Beacon/1/RSSI,Beacon/2/UUID,Beacon/2/major,Beacon/2/minor,Beacon/2/RSSI,Wifi/0/SSID,Wifi/0/BSSID,Wifi/0/RSSI,Wifi/1/SSID,Wifi/1/BSSID,Wifi/1/RSSI,Wifi/2/SSID,Wifi/2/BSSID,Wifi/2/RSSI,Wifi/3/SSID,Wifi/3/BSSID,Wifi/3/RSSI,Wifi/4/SSID,Wifi/4/BSSID,Wifi/4/RSSI,Wifi/5/SSID,Wifi/5/BSSID,Wifi/5/RSSI,Wifi/6/SSID,Wifi/6/BSSID,Wifi/6/RSSI,Wifi/7/SSID,Wifi/7/BSSID,Wifi/7/RSSI,Wifi/8/SSID,Wifi/8/BSSID,Wifi/8/RSSI,Wifi/9/SSID,Wifi/9/BSSID,Wifi/9/RSSI,Wifi/10/SSID,Wifi/10/BSSID,Wifi/10/RSSI,Wifi/11/SSID,Wifi/11/BSSID,Wifi/11/RSSI,Wifi/12/SSID,Wifi/12/BSSID,Wifi/12/RSSI,Wifi/13/SSID,Wifi/13/BSSID,Wifi/13/RSSI,Wifi/14/SSID,Wifi/14/BSSID,Wifi/14/RSSI,Wifi/15/SSID,Wifi/15/BSSID,Wifi/15/RSSI,Wifi/16/SSID,Wifi/16/BSSID,Wifi/16/RSSI,Wifi/17/SSID,Wifi/17/BSSID,Wifi/17/RSSI,Wifi/18/SSID,Wifi/18/BSSID,Wifi/18/RSSI,Wifi/19/SSID,Wifi/19/BSSID,Wifi/19/RSSI,Wifi/20/SSID,Wifi/20/BSSID,Wifi/20/RSSI,Wifi/21/SSID,Wifi/21/BSSID,Wifi/21/RSSI,Wifi/22/SSID,Wifi/22/BSSID,Wifi/22/RSSI,Wifi/23/SSID,Wifi/23/BSSID,Wifi/23/RSSI,Wifi/24/SSID,Wifi/24/BSSID,Wifi/24/RSSI,Wifi/25/SSID,Wifi/25/BSSID,Wifi/25/RSSI,Wifi/26/SSID,Wifi/26/BSSID,Wifi/26/RSSI,Wifi/27/SSID,Wifi/27/BSSID,Wifi/27/RSSI,Wifi/28/SSID,Wifi/28/BSSID,Wifi/28/RSSI,Wifi/29/SSID,Wifi/29/BSSID,Wifi/29/RSSI,Wifi/30/SSID,Wifi/30/BSSID,Wifi/30/RSSI,Wifi/31/SSID,Wifi/31/BSSID,Wifi/31/RSSI,Wifi/32/SSID,Wifi/32/BSSID,Wifi/32/RSSI,Wifi/33/SSID,Wifi/33/BSSID,Wifi/33/RSSI,Wifi/34/SSID,Wifi/34/BSSID,Wifi/34/RSSI,Wifi/35/SSID,Wifi/35/BSSID,Wifi/35/RSSI,Wifi/36/SSID,Wifi/36/BSSID,Wifi/36/RSSI
2017/5/1 10:46,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-63,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-69,a9d71355-6595-1801-b7ea-001c4d678e7c,34,1,-59,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-50,n-itolab,00:a0:de:e2:6b:70,-59,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-45,n-itolab-ac,80:ea:96:f2:cc:77,-82,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-85,webmo,fc:db:b3:91:c2:64,-46,n-itolab-n,00:a0:de:e2:6b:68,-55,n-itolab-g,00:a0:de:e2:6b:69,-56,3F-Naito-Lab,90:72:40:25:d1:26,-63,n-itolab-ac,80:ea:96:f2:cc:76,-69,clabpro_G,00:24:a5:7b:d1:70,-79,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/1 10:47,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-64,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-61,a9d71355-6595-1801-b7ea-001c4d678e7c,34,1,-62,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-49,n-itolab,00:a0:de:e2:6b:70,-62,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-46,n-itolab-ac,80:ea:96:f2:cc:77,-79,webmo,fc:db:b3:91:c2:64,-43,n-itolab-n,00:a0:de:e2:6b:68,-52,n-itolab-g,00:a0:de:e2:6b:69,-49,3F-Naito-Lab,90:72:40:25:d1:26,-73,n-itolab-ac,80:ea:96:f2:cc:76,-58,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-47,ait-wnet_A,00:24:a5:7b:aa:30,-81,4b-matslaboEX,cc:e1:d5:51:4e:c0,-72,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-87,ait-wnet,4c:e6:76:82:40:60,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/1 10:47,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-57,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-62,a9d71355-6595-1801-b7ea-001c4d678e7c,34,1,-74,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-41,n-itolab,00:a0:de:e2:6b:70,-61,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-46,n-itolab-ac,80:ea:96:f2:cc:77,-79,webmo,fc:db:b3:91:c2:64,-42,n-itolab-n,00:a0:de:e2:6b:68,-52,n-itolab-g,00:a0:de:e2:6b:69,-49,3F-Naito-Lab,90:72:40:25:d1:26,-66,n-itolab-ac,80:ea:96:f2:cc:76,-55,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-47,ait-wnet_A,00:24:a5:7b:aa:30,-81,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-88,ait-wnet,4c:e6:76:82:40:60,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/1 10:48,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-60,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-67,a9d71355-6595-1801-b7ea-001c4d678e7c,34,1,-70,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-48,n-itolab,00:a0:de:e2:6b:70,-63,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-31,n-itolab-ac,80:ea:96:f2:cc:77,-79,webmo,fc:db:b3:91:c2:64,-55,n-itolab-n,00:a0:de:e2:6b:68,-58,n-itolab-g,00:a0:de:e2:6b:69,-60,3F-Naito-Lab,90:72:40:25:d1:26,-64,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-34,ait-wnet_A,00:24:a5:7b:aa:30,-85,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-85,n-itolab-ac,80:ea:96:f2:cc:76,-68,4-kawabe-lab-204,00:16:01:57:b7:11,-80,ait-wnet,4c:e6:76:82:40:60,-83,ait,00:90:fe:f7:da:b6,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/1 10:49,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-60,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-66,a9d71355-6595-1801-b7ea-001c4d678e7c,34,1,-61,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-45,n-itolab,00:a0:de:e2:6b:70,-61,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-38,n-itolab-ac,80:ea:96:f2:cc:77,-78,webmo,fc:db:b3:91:c2:64,-49,n-itolab-n,00:a0:de:e2:6b:68,-58,n-itolab-g,00:a0:de:e2:6b:69,-55,3F-Naito-Lab,90:72:40:25:d1:26,-67,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-35,ait-wnet_A,00:24:a5:7b:aa:30,-87,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-87,n-itolab-ac,80:ea:96:f2:cc:76,-57,sawano-lab-2,00:07:40:fe:a3:65,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/1 10:49,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-64,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-60,a9d71355-6595-1801-b7ea-001c4d678e7c,34,1,-69,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-44,n-itolab,00:a0:de:e2:6b:70,-58,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-36,n-itolab-ac,80:ea:96:f2:cc:77,-78,webmo,fc:db:b3:91:c2:64,-49,n-itolab-n,00:a0:de:e2:6b:68,-55,n-itolab-g,00:a0:de:e2:6b:69,-55,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-35,ait-wnet_A,00:24:a5:7b:aa:30,-87,n-itolab-ac,80:ea:96:f2:cc:76,-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/1 10:49,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-73,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-62,a9d71355-6595-1801-b7ea-001c4d678e7c,34,1,-72,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-45,n-itolab,00:a0:de:e2:6b:70,-60,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-44,n-itolab-ac,80:ea:96:f2:cc:77,-75,webmo,fc:db:b3:91:c2:64,-48,n-itolab-n,00:a0:de:e2:6b:68,-50,n-itolab-g,00:a0:de:e2:6b:69,-50,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-43,ait-wnet_A,00:24:a5:7b:aa:30,-84,n-itolab-ac,80:ea:96:f2:cc:76,-52,ait formula,00:90:fe:f7:da:b2,-87,AIT Formula,00:90:fe:f7:da:b0,-85,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-86,3F-Naito-Lab,90:72:40:25:d1:26,-64,4b-matslaboEX,cc:e1:d5:51:4e:c0,-72,4-kawabe-lab-205,00:16:01:83:34:49,-68,4b-matslaboEX,b0:c7:45:c9:0d:d0,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/1 10:50,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-63,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-53,a9d71355-6595-1801-b7ea-001c4d678e7c,34,1,-55,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-52,n-itolab,00:a0:de:e2:6b:70,-59,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-41,n-itolab-ac,80:ea:96:f2:cc:77,-83,webmo,fc:db:b3:91:c2:64,-42,n-itolab-n,00:a0:de:e2:6b:68,-53,n-itolab-g,00:a0:de:e2:6b:69,-53,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-39,ait-wnet_A,00:24:a5:7b:aa:30,-86,n-itolab-ac,80:ea:96:f2:cc:76,-60,ait formula,00:90:fe:f7:da:b2,-87,AIT Formula,00:90:fe:f7:da:b0,-88,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-85,3F-Naito-Lab,90:72:40:25:d1:26,-60,4b-matslaboEX,cc:e1:d5:51:4e:c0,-71,ait-wnet,4c:e6:76:82:40:60,-78,4-kawabe-lab-204,00:16:01:57:b7:11,-81,sawano-lab-2,00:07:40:fe:a3:65,-84,ait-wnet_A,4c:e6:76:82:84:d0,-89,clabpro_G,00:24:a5:7b:d1:70,-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/1 10:50,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-59,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-74,a9d71355-6595-1801-b7ea-001c4d678e7c,34,1,-69,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-41,n-itolab,00:a0:de:e2:6b:70,-62,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-38,n-itolab-ac,80:ea:96:f2:cc:77,-73,webmo,fc:db:b3:91:c2:64,-43,n-itolab-n,00:a0:de:e2:6b:68,-50,n-itolab-g,00:a0:de:e2:6b:69,-54,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-38,ait-wnet_A,00:24:a5:7b:aa:30,-85,n-itolab-ac,80:ea:96:f2:cc:76,-58,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-85,3F-Naito-Lab,90:72:40:25:d1:26,-65,ait-wnet,4c:e6:76:82:40:60,-83,4-kawabe-lab-205,00:16:01:83:34:49,-77,4b-matslaboEX,cc:e1:d5:51:4e:c0,-77,ait-wnet,00:24:a5:7b:b2:80,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/1 10:51,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-75,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-57,a9d71355-6595-1801-b7ea-001c4d678e7c,34,1,-70,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-46,n-itolab,00:a0:de:e2:6b:70,-64,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-32,n-itolab-ac,80:ea:96:f2:cc:77,-78,webmo,fc:db:b3:91:c2:64,-54,n-itolab-n,00:a0:de:e2:6b:68,-54,n-itolab-g,00:a0:de:e2:6b:69,-56,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-30,ait-wnet_A,00:24:a5:7b:aa:30,-85,n-itolab-ac,80:ea:96:f2:cc:76,-56,3F-Naito-Lab,90:72:40:25:d1:26,-62,4b-matslaboEX,cc:e1:d5:51:4e:c0,-74,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-85,clabpro_G,00:24:a5:7b:d1:70,-75,4-kawabe-lab-205,00:16:01:83:34:49,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/1 10:54,RoomB,a9d71355-6595-1801-b7ea-001c4d678e7c,31,1,-73,a9d71355-6595-1801-b7ea-001c4d678e7c,31,2,-60,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-64,onogi-lab_g,74:03:bd:de:c0:57,-66,4-morimoto-lab_g,74:03:bd:5e:14:e0,-62,4-morimoto-lab_a,74:03:bd:5e:14:e5,-56,aterm-b4920e-a,c0:25:a2:a7:2e:27,-46,aterm-b4920e-g,c0:25:a2:a7:2e:26,-40,Popcul2,0c:51:01:e6:e9:8a,-55,mizuno-208ac,c0:25:a2:b4:4a:ab,-64,B0C7456E5E56-1,b0:c7:45:6e:5e:56,-69,B0C7456E5E56,b6:c7:45:6e:5e:56,-69,mizuno-208G,c0:25:a2:b4:4a:aa,-66,PopCul,b4:18:d1:e0:d1:62,-66,suzuki-lab,00:1d:73:a9:09:78,-81,suzuki-lab,00:1d:73:a9:09:7c,-75,Popcul2,0c:51:01:e6:e9:8b,-67,onogi-lab_a,74:03:bd:de:c0:50,-60,PopCul,b4:18:d1:e0:d1:63,-75,ait-wnet_A,00:a6:ca:47:a3:de,-85,MizunoLabo_G,74:03:bd:8b:7c:b0,-78,ait-wnet,00:a6:ca:47:a3:d0,-81,2450,74:03:bd:cb:0b:18,-89,2.4GHz-ngb-clab,74:03:bd:2e:cc:32,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/1 10:54,RoomB,a9d71355-6595-1801-b7ea-001c4d678e7c,31,1,-61,a9d71355-6595-1801-b7ea-001c4d678e7c,31,2,-56,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-65,onogi-lab_g,74:03:bd:de:c0:57,-68,4-morimoto-lab_g,74:03:bd:5e:14:e0,-58,4-morimoto-lab_a,74:03:bd:5e:14:e5,-54,aterm-b4920e-a,c0:25:a2:a7:2e:27,-41,aterm-b4920e-g,c0:25:a2:a7:2e:26,-44,Popcul2,0c:51:01:e6:e9:8a,-50,mizuno-208ac,c0:25:a2:b4:4a:ab,-67,B0C7456E5E56-1,b0:c7:45:6e:5e:56,-65,B0C7456E5E56,b6:c7:45:6e:5e:56,-65,mizuno-208G,c0:25:a2:b4:4a:aa,-63,PopCul,b4:18:d1:e0:d1:62,-63,suzuki-lab,00:1d:73:a9:09:78,-77,suzuki-lab,00:1d:73:a9:09:7c,-78,Popcul2,0c:51:01:e6:e9:8b,-73,onogi-lab_a,74:03:bd:de:c0:50,-60,PopCul,b4:18:d1:e0:d1:63,-78,ait-wnet_A,00:a6:ca:47:a3:de,-87,MizunoLabo_G,74:03:bd:8b:7c:b0,-79,ait-wnet,00:a6:ca:47:a3:d0,-77,elecom5g-CB0DAC,00:90:fe:cb:0d:af,-82,AM-MIZUNO __ GHz__,90:84:0d:d5:9a:04,-84,e-timer-CB0DAC,02:90:fe:cb:0d:ae,-78,wx03-2eeb8c,98:f1:99:32:33:6e,-78,his-wireless02,88:1f:a1:34:a2:68,-81,4b-matslabo,00:1d:73:b4:b1:cf,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/1 10:55,RoomB,a9d71355-6595-1801-b7ea-001c4d678e7c,31,1,-64,a9d71355-6595-1801-b7ea-001c4d678e7c,31,2,-72,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-69,onogi-lab_g,74:03:bd:de:c0:57,-63,4-morimoto-lab_g,74:03:bd:5e:14:e0,-50,4-morimoto-lab_a,74:03:bd:5e:14:e5,-43,aterm-b4920e-a,c0:25:a2:a7:2e:27,-50,aterm-b4920e-g,c0:25:a2:a7:2e:26,-46,Popcul2,0c:51:01:e6:e9:8a,-45,mizuno-208ac,c0:25:a2:b4:4a:ab,-58,B0C7456E5E56-1,b0:c7:45:6e:5e:56,-70,B0C7456E5E56,b6:c7:45:6e:5e:56,-69,mizuno-208G,c0:25:a2:b4:4a:aa,-63,PopCul,b4:18:d1:e0:d1:62,-74,suzuki-lab,00:1d:73:a9:09:78,-84,Popcul2,0c:51:01:e6:e9:8b,-69,onogi-lab_a,74:03:bd:de:c0:50,-52,PopCul,b4:18:d1:e0:d1:63,-74,ait-wnet_A,00:a6:ca:47:a3:de,-87,MizunoLabo_G,74:03:bd:8b:7c:b0,-78,ait-wnet,00:a6:ca:47:a3:d0,-74,4b-matslabo,00:1d:73:b4:b1:cf,-86,aterm-a6d6cb-g,c0:25:a2:f3:36:7e,-82,suzuki-lab,00:1d:73:a9:09:7c,-71,KITALAB-AIR,00:1d:73:1c:5b:5d,-86,elecom5g-CB0DAC,00:90:fe:cb:0d:af,-88,AM-MIZUNO,90:84:0d:d5:9a:03,-80,sawano-lab,4c:32:75:c6:2b:02,-85,2450,74:03:bd:cb:0b:18,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
